IE_XML_ID;IE_NAME;IP_PROP142;IP_PROP157;IP_PROP160;IP_PROP446;CV_PRICE_1;IP_PROP670
4804;карниз 1.50.132;1.50.132;N;ВР000001050;N;2772.00;3072
4805;карниз 1.50.133;1.50.133;N;ВР000001076;N;2016.00;2267
4806;карниз 1.50.134;1.50.134;N;ВР000001051;N;3608.00;3532
4807;карниз 1.50.135;1.50.135;N;ВР000001303;N;1562.00;1529
4808;карниз 1.50.136;1.50.136;N;ВР000002167;;1751.00;1713
4809;карниз 1.50.137;1.50.137;N;ВР000001827;;3819.00;3737
4810;карниз 1.50.138;1.50.138;N;ВР000002343;;3199.00;3133
4811;карниз 1.50.139;1.50.139;N;ВР000006023;N;2449.00;2396
4812;карниз 1.50.140;1.50.140;N;ВР000001052;;1429.00;1399
4813;карниз 1.50.141;1.50.141;N;ВР000005170;;1429.00;1399
4814;карниз 1.50.142;1.50.142;N;ВР000001544;N;3199.00;3133
4815;карниз 1.50.143;1.50.143;N;ВР000005171;;1378.00;1351
4816;карниз 1.50.144;1.50.144;N;ВР000005173;N;1531.00;1499
4817;карниз 1.50.145;1.50.145;N;ВР000001586;;4062.00;3977
4818;карниз 1.50.146;1.50.146;N;ВР000005175;N;2588.00;2534
4819;карниз 1.50.147;1.50.147;N;ВР000001182;;3199.00;3133
4820;карниз 1.50.148;1.50.148;N;ВР000006025;;2723.00;2668
4822;карниз 1.50.150;1.50.150;N;ВР000001054;N;1051.00;1029
4824;карниз 1.50.152;1.50.152;N;ВР001021965;;2474.00;2421
4825;карниз 1.50.153;1.50.153;N;ВР001021966;;2474.00;2421
4826;карниз 1.50.154;1.50.154;N;ВР001022849;;959.00;940
4827;карниз 1.50.155;1.50.155;N;ВР001022850;;951.00;933
4828;карниз 1.50.156;1.50.156;N;ВР001022851;;1054.00;1031
4829;карниз 1.50.157;1.50.157;N;ВР001022852;;981.00;960
4830;карниз 1.50.158;1.50.158;N;ВР001022853;;992.00;971
4831;карниз 1.50.159;1.50.159;N;ВР001022854;N;1019.00;998
4832;карниз 1.50.160;1.50.160;N;ВР000001055;;1347.00;1320
4833;карниз 1.50.162;1.50.162;N;ВР000002855;;1378.00;1351
4834;карниз 1.50.163;1.50.163;N;ВР000002934;N;2686.00;2630
4835;карниз 1.50.164;1.50.164;N;ВР000002936;;2954.00;2893
4836;карниз 1.50.165;1.50.165;N;ВР000001056;;1405.00;1374
4837;карниз 1.50.166;1.50.166;N;ВР000004078;;1709.00;1672
4838;карниз 1.50.167;1.50.167;N;ВР000004319;;2888.00;2828
4839;карниз 1.50.168;1.50.168;N;ВР000004036;N;2888.00;2828
4840;карниз 1.50.169;1.50.169;N;ВР000005325;;2723.00;2668
4841;карниз 1.50.170;1.50.170;N;ВР000001057;N;1531.00;1499
4842;карниз 1.50.171;1.50.171;N;ВР001022855;;1011.00;991
4843;карниз 1.50.172;1.50.172;N;ВР001022856;;1050.00;1029
4844;карниз 1.50.173;1.50.173;N;ВР001022857;;1054.00;1031
4845;карниз 1.50.174;1.50.174;N;ВР001022858;N;1071.00;1049
4846;карниз 1.50.175;1.50.175;N;ВР000001355;;2871.00;2811
4847;карниз 1.50.176;1.50.176;N;ВР000005000;;1562.00;1529
4848;карниз 1.50.177;1.50.177;N;ВР000006024;N;1567.00;1536
4849;карниз 1.50.180;1.50.180;N;ВР000001451;;2665.00;2608
4850;карниз 1.50.181;1.50.181;N;ВР001023412;;901.00;882
4851;карниз 1.50.182;1.50.182;N;ВР001023413;;888.00;870
4852;карниз 1.50.183;1.50.183;N;ВР001023414;;1605.00;1574
4853;карниз 1.50.184;1.50.184;N;ВР001023415;;963.00;945
4854;карниз 1.50.185;1.50.185;N;ВР001023416;;1686.00;1650
4855;карниз 1.50.186;1.50.186;N;ВР001023417;;963.00;945
4857;карниз 1.50.188;1.50.188;N;ВР001023693;;855.00;838
4858;карниз 1.50.190;1.50.190;N;ВР001024050;;642.00;628
4859;карниз 1.50.191;1.50.191;N;ВР001024053;;630.00;618
4860;карниз 1.50.192;1.50.192;N;ВР002025145;;1454.00;1423
4861;карниз 1.50.193;1.50.193;N;ВР002025144;;899.00;881
4862;карниз 1.50.194;1.50.194;N;ВР002025137;;1378.00;1351
4863;карниз 1.50.195;1.50.195;N;ВР002025296;;901.00;882
4864;карниз 1.50.196;1.50.196;N;ВР002025293;;1454.00;1423
4865;карниз 1.50.197;1.50.197;N;ВР002025291;;963.00;945
4866;карниз 1.50.198;1.50.198;N;ВР002025290;;1573.00;1543
4868;карниз 1.50.201;1.50.201;N;ВР002025337;;3548.00;3472
4870;карниз 1.50.203;1.50.203;N;ВР002025341;;1694.00;1697
4871;карниз 1.50.204;1.50.204;N;ВР002025428;;827.00;811
4872;карниз 1.50.208;1.50.208;N;ВР002025426;N;1531.00;1499
4873;карниз 1.50.209;1.50.209;N;ВР000001058;;3322.00;3254
4874;карниз 1.50.210;1.50.210;N;ВР000001077;N;2084.00;2039
4875;карниз 1.50.211;1.50.211;N;ВР000004385;;3558.00;3483
4876;карниз 1.50.212;1.50.212;N;ВР000004386;;2135.00;2090
4877;карниз 1.50.220;1.50.220;N;ВР000001281;;3082.00;3017
4878;карниз 1.50.221;1.50.221;N;ВР000001338;N;3607.00;3532
4879;карниз 1.50.222;1.50.222;N;ВР000001612;;3978.00;3895
4880;карниз 1.50.250;1.50.250;N;ВР000005486;;1562.00;1529
4881;карниз 1.50.251;1.50.251;N;ВР000005602;;1009.00;987
4882;карниз 1.50.252;1.50.252;N;ВР000004035;N;3036.00;2973
4883;карниз 1.50.253;1.50.253;N;ВР000005501;;901.00;882
