IE_XML_ID;IE_NAME;IP_PROP157;IP_PROP160;IP_PROP253;IP_PROP257;IP_PROP258;CV_PRICE_1
6599;ствол 4.12.002;Нет;ВР002028132;40963;154,79;154,79;8754.00
6600;ствол 4.12.002;Нет;ВР002028132;40963;154,79;154,79;8754.00
6601;ствол 4.12.004;Нет;ВР002028134;39867;150,66;150,66;8521.00
6602;ствол 4.12.004;Нет;ВР002028134;39867;150,66;150,66;8521.00
6611;карниз 1.50.273 гибкий;Да;ВР002029453;30197;133,03;133,03;6736.00
6612;молдинг 1.51.375 гибкий;Да;ВР002029528;9428;29,61;29,61;2104.00
6613;внешний угол 4.01.312;Нет;ВР001005069;26127;99,06;99,06;5584.00
6614;сандрик 4.89.001;Нет;ВР002029721;22631;159,5;159,5;4839.00
6615;орнамент 4.99.001;Нет;ВР002029720;4232;15,98;15,98;903.00
6616;орнамент 4.99.002;Нет;ВР002029719;1953;7,34;7,34;414.00
6617;внутренний угол 4.02.221;Нет;ВР001023617;23248;88;88;4967.00
6618;внутренний угол 4.02.321;Нет;ВР001023618;26965;101,92;101,92;5764.00
6619;торцевой элемент 4.34.332;Нет;ВР001005119;1930;6,96;6,96;391.00
6620;торцевой элемент 4.34.232;Нет;ВР001005057;1930;6,96;6,96;391.00
6621;торцевой элемент 4.01.131;Нет;ВР001004937;19394;73,27;73,27;4146.00
6622;торцевой элемент 4.34.132;Нет;ВР001004987;1930;6,96;6,96;391.00
6623;торцевой элемент 4.32.232;Нет;ВР001005053;9360;33,56;33,56;1898.00
6624;торцевой элемент 4.01.133;Нет;ВР001004941;29502;111,74;111,74;6305.00
6625;торцевой элемент 4.01.231;Нет;ВР001005007;18160;68,77;68,77;3882.00
6626;внутренний угол 4.32.222;Нет;ВР001005052;14158;50,76;50,76;2872.00
6627;торцевой элемент 4.01.232;Нет;ВР001005011;19463;73,68;73,68;4160.00
6628;внешний угол 4.32.211;Нет;ВР001005047;14158;50,76;50,76;2872.00
6629;торцевой элемент 4.01.331;Нет;ВР001005067;18349;69,58;69,58;3922.00
6630;торцевой элемент 4.34.331;Нет;ВР001005096;2417;9,01;9,01;488.00
6631;торцевой элемент 4.01.332;Нет;ВР001005072;19754;74,91;74,91;4222.00
6632;торцевой элемент 4.33.231;Нет;ВР001005033;2723;9,82;9,82;551.00
6633;торцевой элемент 4.33.131;Нет;ВР001004971;2669;9,82;9,82;541.00
6634;торцевой элемент 4.31.332;Нет;ВР001005092;12479;45,03;45,03;2533.00
6635;торцевой элемент 4.31.331;Нет;ВР001005088;14951;54,03;54,03;3036.00
