IE_XML_ID;IE_NAME;IP_PROP144;IP_PROP142;IP_PROP143;IP_PROP145;IP_PROP146;IP_PROP147;IP_PROP148;IP_PROP150;IP_PROP151;IP_PROP152;IP_PROP153;IP_PROP154;IP_PROP155;IP_PROP156;IP_PROP159;IP_PROP160;IP_PROP162;IP_PROP163;IP_PROP164;IP_PROP149;IC_GROUP0;IC_GROUP1;IC_GROUP2;CV_PRICE_1
4903;карниз FLEX;2000;1.50.115;47;49;2500;2000;;;;;;;;;;ВР000005846;;4;72,5;;Интерьерный декор;гибкие карнизы;;990.00
4904;карниз FLEX;2000;1.50.116;100;100;4000;3000;;;;;;;;;;ВР000005863;;4;72,5;;Интерьерный декор;гибкие карнизы;;2501.00
4905;карниз FLEX;2000;1.50.117;105;155;3000;2500;;;;;;;;;;ВР000005856;;5;82,8;;Интерьерный декор;гибкие карнизы;;2632.00
4906;карниз FLEX;2000;1.50.118;132;131;3500;2500;;;;;;;;;;ВР000005875;;4;72,5;;Интерьерный декор;гибкие карнизы;;2778.00
4907;карниз FLEX;2000;1.50.119;50;118;2500;2000;;;;;;;;;;ВР000005873;;4;72,5;;Интерьерный декор;гибкие карнизы;;1363.00
4908;карниз FLEX;2000;1.50.120;122;143;4500;4000;;;;;;;;;;ВР000005874;;4;72,5;;Интерьерный декор;гибкие карнизы;;2852.00
4909;карниз FLEX;2000;1.50.121;51;101;1000;1000;;;;;;;;;;ВР000005853;;4;72,5;;Интерьерный декор;гибкие карнизы;;1337.00
4910;карниз FLEX;2000;1.50.122;40;50;1500;1000;;;;;;;;;;ВР000005847;;4;72,5;;Интерьерный декор;гибкие карнизы;;875.00
4911;карниз FLEX;2000;1.50.100;55;64;3000;2500;;;;;;;;;;ВР000005843;;4;72,5;;Интерьерный декор;гибкие карнизы;;1230.00
4912;карниз FLEX;2000;1.50.102;74;72;3500;3500;;;;;;;;;;ВР000005914;;4;72,5;;Интерьерный декор;гибкие карнизы;;973.00
4913;карниз FLEX;2000;1.50.103;50;50;1500;1000;;;;;;;;;;ВР000005908;;4;93;;Интерьерный декор;гибкие карнизы;;981.00
4914;карниз FLEX;2000;1.50.104;76;114;2500;1500;;;;;;;;;;ВР000005862;;4;72,5;;Интерьерный декор;гибкие карнизы;;2435.00
4915;карниз FLEX;2000;1.50.105;63;60;3000;2500;;;;;;;;;;ВР000005897;;4;72,5;;Интерьерный декор;гибкие карнизы;;1198.00
4916;карниз FLEX;2000;1.50.106;90;72;3000;2500;;;;;;;;;;ВР000006081;;4;72,5;;Интерьерный декор;гибкие карнизы;;1292.00
4917;карниз FLEX;2000;1.50.107;108;148;4500;4000;;;;;;;;;;ВР000005909;;5;82,8;;Интерьерный декор;гибкие карнизы;;2559.00
4918;карниз FLEX;2000;1.50.109;188;84;5000;4500;;;;;;;;;;ВР000005883;;4;72,5;;Интерьерный декор;гибкие карнизы;;2778.00
4919;карниз FLEX;2000;1.50.110;192;162;4500;4000;;;;;;;;;;ВР000005887;;5;82,8;;Интерьерный декор;гибкие карнизы;;3144.00
4920;карниз FLEX;2000;1.50.111;113;116;3500;2500;;;;;;;;;;ВР000005864;;4;72,5;;Интерьерный декор;гибкие карнизы;;2572.00
4921;карниз FLEX;2000;1.50.112;39;75;1500;1000;;;;;;;;;;ВР000005861;;4;72,5;;Интерьерный декор;гибкие карнизы;;1274.00
4922;карниз FLEX;2000;1.50.113;81;84;4000;3000;;;;;;;;;;ВР000005851;;4;72,5;;Интерьерный декор;гибкие карнизы;;1350.00
4923;карниз FLEX;2000;1.50.123;30;30;1000;550;;;;;;;;;;ВР000005872;;4;72,5;;Интерьерный декор;гибкие карнизы;;906.00
4924;карниз FLEX;2000;1.50.124;57;115;1500;1500;;;;;;;;;;ВР000005877;;4;72,5;;Интерьерный декор;гибкие карнизы;;2321.00
4925;карниз FLEX;2000;1.50.125;87;90;2500;2000;;;;;;;;;;ВР000005878;;4;72,5;;Интерьерный декор;гибкие карнизы;;1905.00
4926;карниз FLEX;2000;1.50.126;95;91;2000;1500;;;;;;;;;;ВР000005907;;;;;Интерьерный декор;гибкие карнизы;;1335.00
4927;карниз FLEX;2000;1.50.127;48;90;2000;1500;;;;;;;;;;ВР000005882;;4;72,5;;Интерьерный декор;гибкие карнизы;;1292.00
4928;карниз FLEX;1970;1.50.128;67;146;1500;2000;;;;;;;;;;ВР000005880;;4;72,5;;Интерьерный декор;гибкие карнизы;;2266.00
4929;карниз FLEX;2000;1.50.129;75;86;2500;1500;;;;;;;;;;ВР000005913;;4;72,5;;Интерьерный декор;гибкие карнизы;;1305.00
4930;карниз FLEX;2000;1.50.130;30;32;1000;550;;;;;;;;;;ВР000005845;;4;72,5;;Интерьерный декор;гибкие карнизы;;915.00
4931;карниз FLEX;2000;1.50.131;135;60;3000;2500;;;;;;;;;;ВР000005854;;4;72,5;;Интерьерный декор;гибкие карнизы;;2229.00
4932;карниз FLEX;2000;1.50.132;117;217;2500;3000;;;;;;;;;;ВР000005858;;5;82,8;;Интерьерный декор;гибкие карнизы;;3326.00
4933;карниз FLEX;2000;1.50.133;116;119;3500;2500;;;;;;;;;;ВР000005855;;5;82,8;;Интерьерный декор;гибкие карнизы;;2266.00
4934;карниз FLEX;2000;1.50.134;193;149;4500;4000;;;;;;;;;;ВР000005857;;5;82,8;;Интерьерный декор;гибкие карнизы;;3217.00
4935;карниз FLEX;2000;1.50.135;161;41;550;550;2500;;;;;;;;;ВР000005871;;4;72,5;;Интерьерный декор;гибкие карнизы;;2341.00
4936;карниз FLEX;2000;1.50.136;62;166;550;550;;;;;;;;;;ВР000005879;;5;82,8;;Интерьерный декор;гибкие карнизы;;2596.00
4937;карниз FLEX;2000;1.50.137;183;190;4500;4000;;;;;;;;;;ВР000005876;;5;82,8;;Интерьерный декор;гибкие карнизы;;3399.00
4938;карниз FLEX;2000;1.50.138;156;161;4000;3500;;;;;;;;;;ВР000005881;;5;82,8;;Интерьерный декор;гибкие карнизы;;2852.00
4939;карниз FLEX;2000;1.50.139;99;99;2500;2000;;;;;;;;;;ВР000006252;;4;72,5;;Интерьерный декор;гибкие карнизы;;2206.00
4940;карниз FLEX;2000;1.50.140;57;57;2000;1500;;;;;;;;;;ВР000005848;;4;72,5;;Интерьерный декор;гибкие карнизы;;1270.00
4941;карниз FLEX;2000;1.50.141;70;71;2000;1500;;;;;;;;;;ВР000005911;;4;72,5;;Интерьерный декор;гибкие карнизы;;1270.00
4942;карниз FLEX;2000;1.50.142;196;45;550;550;2500;;;;;;;;;ВР000005890;;4;72,5;;Интерьерный декор;гибкие карнизы;;2852.00
4943;карниз FLEX;2000;1.50.143;69;74;2000;1500;;;;;;;;;;ВР000006083;;4;72,5;;Интерьерный декор;гибкие карнизы;;1247.00
