IE_XML_ID;IE_NAME;IP_PROP144;IP_PROP151;IP_PROP152;IP_PROP153;IP_PROP142;IP_PROP143;IP_PROP145;IP_PROP146;IP_PROP147;IP_PROP148;IP_PROP150;IP_PROP154;IP_PROP155;IP_PROP156;IP_PROP157;IP_PROP159;IP_PROP160;IP_PROP162;IP_PROP163;IP_PROP164;IP_PROP167;IP_PROP149;IC_GROUP0;IC_GROUP1;IC_GROUP2;CV_PRICE_1
4902;карниз FLEX;2000;;;;1.50.114;30;67;1500;1000;;;;;;Да;;ВР000005865;;4;72,5;;;Интерьерный декор;гибкие карнизы;;1351.00
4903;карниз FLEX;2000;;;;1.50.115;47;49;2500;2000;;;;;;Да;;ВР000005846;;4;72,5;;;Интерьерный декор;гибкие карнизы;;1089.00
4904;карниз FLEX;2000;;;;1.50.116;100;100;4000;3000;;;;;;Да;;ВР000005863;;4;72,5;;;Интерьерный декор;гибкие карнизы;;2752.00
4905;карниз FLEX;2000;;;;1.50.117;105;155;3000;2500;;;;;;Да;;ВР000005856;;5;82,8;;;Интерьерный декор;гибкие карнизы;;2896.00
4906;карниз FLEX;2000;;;;1.50.118;132;131;3500;2500;;;;;;Да;;ВР000005875;;4;72,5;;;Интерьерный декор;гибкие карнизы;;3056.00
4907;карниз FLEX;2000;;;;1.50.119;50;118;2500;2000;;;;;;Да;;ВР000005873;;4;72,5;;;Интерьерный декор;гибкие карнизы;;1500.00
4908;карниз FLEX;2000;;;;1.50.120;122;143;4500;4000;;;;;;Да;;ВР000005874;;4;72,5;;;Интерьерный декор;гибкие карнизы;;3138.00
4909;карниз FLEX;2000;;;;1.50.121;51;101;1000;1000;;;;;;Да;;ВР000005853;;4;72,5;;;Интерьерный декор;гибкие карнизы;;1471.00
4910;карниз FLEX;2000;;;;1.50.122;40;50;1500;1000;;;;;;Да;;ВР000005847;;4;72,5;;;Интерьерный декор;гибкие карнизы;;963.00
4911;карниз FLEX;2000;;;;1.50.100;55;64;3000;2500;;;;;;Да;;ВР000005843;;4;72,5;;;Интерьерный декор;гибкие карнизы;;1353.00
4912;карниз FLEX;2000;;;;1.50.102;74;72;3500;3500;;;;;;Да;;ВР000005914;;4;72,5;;;Интерьерный декор;гибкие карнизы;;1071.00
4913;карниз FLEX;2000;;;;1.50.103;50;50;1500;1000;;;;;;Да;;ВР000005908;;4;93;;;Интерьерный декор;гибкие карнизы;;1080.00
4914;карниз FLEX;2000;;;;1.50.104;76;114;2500;1500;;;;;;Да;;ВР000005862;;4;72,5;;;Интерьерный декор;гибкие карнизы;;2679.00
4915;карниз FLEX;2000;;;;1.50.105;63;60;3000;2500;;;;;;Да;;ВР000005897;;4;72,5;;;Интерьерный декор;гибкие карнизы;;1318.00
4916;карниз FLEX;2000;;;;1.50.106;90;72;3000;2500;;;;;;Да;;ВР000006081;;4;72,5;;;Интерьерный декор;гибкие карнизы;;1422.00
4917;карниз FLEX;2000;;;;1.50.107;108;148;4500;4000;;;;;;Да;;ВР000005909;;5;82,8;;;Интерьерный декор;гибкие карнизы;;2815.00
4918;карниз FLEX;2000;;;;1.50.109;188;84;5000;4500;;;;;;Да;;ВР000005883;;4;72,5;;;Интерьерный декор;гибкие карнизы;;3056.00
4919;карниз FLEX;2000;;;;1.50.110;192;162;4500;4000;;;;;;Да;;ВР000005887;;5;82,8;;;Интерьерный декор;гибкие карнизы;;3459.00
4920;карниз FLEX;2000;;;;1.50.111;113;116;3500;2500;;;;;;Да;;ВР000005864;;4;72,5;;;Интерьерный декор;гибкие карнизы;;2830.00
4921;карниз FLEX;2000;;;;1.50.112;39;75;1500;1000;;;;;;Да;;ВР000005861;;4;72,5;;;Интерьерный декор;гибкие карнизы;;1402.00
4922;карниз FLEX;2000;;;;1.50.113;81;84;4000;3000;;;;;;Да;;ВР000005851;;4;72,5;;;Интерьерный декор;гибкие карнизы;;1485.00
