IE_XML_ID;IP_PROP726;IP_PROP144;IP_PROP151;IP_PROP152;IP_PROP153;IP_PROP142;IP_PROP143;IP_PROP145;IP_PROP150;IP_PROP154
5382;;;234;2691;218;1.30.202;;;;
5383;;;276;2176;280;1.30.204;;;;
5384;;;392;3149;392;1.30.205;;;;
5385;;;392;2623;392;1.30.206;;;;
5386;;;393;3172;392;1.30.207;;;;
5387;;;393;340;392;1.30.208;;;;
5388;;;438;3166;391;1.30.209;;;;
5389;;;438;2640;377;1.30.210;;;;
5390;;;438;869;382;1.30.211;;;;
5391;;;438;2645;377;1.30.212;;;;
5392;;;392;3148;392;1.30.213;;;;
5393;;;392;2622;392;1.30.214;;;;
5394;;;318;2692;318;1.30.101;;;;
5395;;;224;2693;224;1.30.102;;;;
5396;;;269;2217;269;1.30.104;;;;
5397;;;391;3262;391;1.30.105;;;;
5398;;;377;2736;377;1.30.106;;;;
5861;;2000;;;;1.50.205;71;66;;
5862;;2000;;;;1.50.196;53;70;;
5863;;2000;;;;1.50.198;92;87;;
5864;;2000;;;;1.50.201;130;171;;
5865;;2000;;;;1.50.205;71;66;;
5866;;2000;;;;1.51.345;;94;;
5867;;2000;;;;1.51.357;;48;;
5868;;2000;;;;1.51.358;;82;;
5869;;2000;;;;1.51.361;;51;;
