IE_XML_ID;IE_NAME;IP_PROP142;IP_PROP157;IP_PROP144;IP_PROP151;IP_PROP152;IP_PROP153;IP_PROP143;IP_PROP145;IP_PROP150;IP_PROP154;IP_PROP155;IP_PROP156;IP_PROP162;IP_PROP149;IP_PROP146;IP_PROP147;IP_PROP148;CV_PRICE_1;IP_PROP706;IP_PROP707;IC_GROUP0;IC_GROUP1;IC_GROUP2
4923;карниз 1.50.123 гибкий;1.50.123;Y;2000;;;;30;30;;;;;;;1000;550;;2041.00;429;3,5;Интерьерный декор;гибкие карнизы;
4924;карниз 1.50.124 гибкий;1.50.124;Y;2000;;;;55;115;;;;;;;1500;1500;;5100.00;500;19,4;Интерьерный декор;гибкие карнизы;
4925;карниз 1.50.125 гибкий;1.50.125;Y;2000;;;;85;90;;;;;;;2500;2000;;4279.00;500;12,7;Интерьерный декор;гибкие карнизы;
4926;карниз 1.50.126 гибкий;1.50.126;Y;2000;;;;90;93;;;;;;;2500;1500;;2999.00;500;14,2;Интерьерный декор;гибкие карнизы;
4927;карниз 1.50.127 гибкий;1.50.127;Y;2000;;;;46;89;;;;;;;2000;1500;;2907.00;500;10,3;Интерьерный декор;гибкие карнизы;
4928;карниз 1.50.128 гибкий;1.50.128;Y;2000;;;;66;144;;;;;;;1500;2000;;4959.00;500;24;Интерьерный декор;гибкие карнизы;
4929;карниз 1.50.129 гибкий;1.50.129;Y;2000;;;;74;85;;;;;;;2500;1500;;2934.00;500;16;Интерьерный декор;гибкие карнизы;
4930;карниз 1.50.130 гибкий;1.50.130;Y;2000;;;;30;32;;;;;;;1000;550;;2057.00;429;4,2;Интерьерный декор;гибкие карнизы;
4931;карниз 1.50.131 гибкий;1.50.131;Y;2000;;;;136;63;;;;;;;3000;2500;;4612.00;500;30,4;Интерьерный декор;гибкие карнизы;
4932;карниз 1.50.132 гибкий;1.50.132;Y;2000;;;;117;218;;;;;;;2500;3000;;5544.00;550;55,9;Интерьерный декор;гибкие карнизы;
4933;карниз 1.50.133 гибкий;1.50.133;Y;2000;;;;115;120;;;;;;;3500;2500;;4031.00;550;29,8;Интерьерный декор;гибкие карнизы;
4934;карниз 1.50.134 гибкий;1.50.134;Y;2000;;;;193;150;;;;;;;4500;4000;;7215.00;550;68,3;Интерьерный декор;гибкие карнизы;
4935;карниз 1.50.135 гибкий;1.50.135;Y;2000;;;;159;40;;;;;;;3500;3500;;3122.00;429;17,6;Интерьерный декор;гибкие карнизы;
4936;карниз 1.50.136 гибкий;1.50.136;Y;2000;;;;61;165;;;;;;;3500;3000;;3500.00;550;36,3;Интерьерный декор;гибкие карнизы;
4937;карниз 1.50.137 гибкий;1.50.137;Y;2000;;;;185;190;;;;;;;4500;4000;;7636.00;550;56,1;Интерьерный декор;гибкие карнизы;
4938;карниз 1.50.138 гибкий;1.50.138;Y;2000;;;;151;165;;;;;;;4000;3500;;6397.00;550;31,8;Интерьерный декор;гибкие карнизы;
4939;карниз 1.50.139 гибкий;1.50.139;Y;2000;;;;99;100;;;;;;;2500;2000;;4897.00;500;16;Интерьерный декор;гибкие карнизы;
4940;карниз 1.50.140 гибкий;1.50.140;Y;2000;;;;56;56;;;;;;;2000;1500;;2857.00;457;10,8;Интерьерный декор;гибкие карнизы;
4941;карниз 1.50.141 гибкий;1.50.141;Y;2000;;;;68;72;;;;;;;2000;1500;;2857.00;457;14,4;Интерьерный декор;гибкие карнизы;
4942;карниз 1.50.142 гибкий;1.50.142;Y;2000;;;;195;45;;;;;;;>5000;;;6397.00;500;32,8;Интерьерный декор;гибкие карнизы;
4943;карниз 1.50.143 гибкий;1.50.143;Y;2000;;;;69;73;;;;;;;>5000;;;2754.00;500;14,3;Интерьерный декор;гибкие карнизы;
4944;карниз 1.50.144 гибкий;1.50.144;Y;2000;;;;82;81;;;;;;;2500;1500;;3060.00;500;14;Интерьерный декор;гибкие карнизы;
4945;карниз 1.50.145 гибкий;1.50.145;Y;2000;;;;262;92;;;;;;;>5000;;;8122.00;550;60,5;Интерьерный декор;гибкие карнизы;
4946;карниз 1.50.146 гибкий;1.50.146;Y;2000;;;;76;149;;;;;;;>5000;;;5175.00;500;31,3;Интерьерный декор;гибкие карнизы;
4947;карниз 1.50.147 гибкий;1.50.147;Y;2000;;;;125;173;;;;;;;4500;4500;;6397.00;550;31,9;Интерьерный декор;гибкие карнизы;
4948;карниз 1.50.148 гибкий;1.50.148;Y;2000;;;;120;117;;;;;;;3500;3000;;5445.00;500;17,2;Интерьерный декор;гибкие карнизы;
4950;карниз 1.50.150 гибкий;1.50.150;Y;2000;;;;40;41;;;;;;;1500;1000;;2099.00;429;4,7;Интерьерный декор;гибкие карнизы;
4951;карниз 1.50.151 гибкий;1.50.151;Y;2000;;;;144;171;;;;;;;3500;3500;;4947.00;550;159,7;Интерьерный декор;гибкие карнизы;
4953;карниз 1.50.153 гибкий;1.50.153;Y;2000;;;;159;170;;;;;;;3000;2500;;4947.00;550;159,7;Интерьерный декор;гибкие карнизы;
4954;карниз 1.50.154 гибкий;1.50.154;Y;2000;;;;23;23;;;;;;;1000;550;;1917.00;429;2;Интерьерный декор;гибкие карнизы;
4955;карниз 1.50.155 гибкий;1.50.155;Y;2000;;;;16;25;;;;;;;1000;1000;;1900.00;429;2,3;Интерьерный декор;гибкие карнизы;
4956;карниз 1.50.156 гибкий;1.50.156;Y;2000;;;;30;30;;;;;;;1000;1000;;2108.00;429;3,3;Интерьерный декор;гибкие карнизы;
4957;карниз 1.50.157 гибкий;1.50.157;Y;2000;;;;31;33;;;;;;;1000;550;;1958.00;429;3;Интерьерный декор;гибкие карнизы;
4958;карниз 1.50.158 гибкий;1.50.158;Y;2000;;;;34;33;;;;;;;1000;550;;1980.00;429;3,5;Интерьерный декор;гибкие карнизы;
4959;карниз 1.50.159 гибкий;1.50.159;Y;2000;;;;28;44;;;;;;;1000;550;;2037.00;429;3,2;Интерьерный декор;гибкие карнизы;
4960;карниз 1.50.160 гибкий;1.50.160;Y;2000;;;;70;50;;;;;;;2000;1500;;2693.00;429;10,4;Интерьерный декор;гибкие карнизы;
